,Schaefer400_17,SA_1,myelin,CorrThickness,evo_expansion,evo_expansion_hill,alloscale,cbf,brain_pc1,GABRA3,GRIN2B,PVALB,SST
0,0,-3.8757283687591553,1.3984246253967285,0.027926338836550713,19.507192746798196,-0.7914602282612274,0.9946935643752416,52.96795164744059,0.08903149757534265,-0.23004451481004556,0.06139227127035459,-0.1260710542400678,-0.4610230935116609
1,1,-4.321663856506348,1.4427690505981445,0.017721161246299744,5.795344754013905,-1.1677268511334131,1.0303915274697681,47.61396297188692,1.521213417526248,-1.619167016082725,-0.9194616265594959,0.7379978612758392,-1.4778739524095557
2,2,-3.9015417098999023,1.4198716878890991,0.01558289211243391,14.145427036285401,-1.3729519953330358,1.041227333744367,47.33146130243937,1.1859553940594196,-1.5163522839546204,-0.9491304440113405,0.6187177677949269,-1.0837976733843486
3,3,-4.113592147827148,1.4810597896575928,0.023116666823625565,4.94549784041543,-1.0837041253351982,1.0058583530760903,48.14236482227122,2.339039918120581,-2.4363264746338356,-1.678807643533663,1.4203057257273726,-1.6813417791410257
4,4,0.2898266613483429,1.5094321966171265,0.021255891770124435,6.9344969324229915,-1.2702365351706435,0.9741005876015142,58.61455748253262,2.3906329784196676,-2.717719722039921,-1.5216936069665497,1.429391456633499,-1.9921641730770623
5,5,-3.6787679195404053,1.4246796369552612,0.01657109521329403,9.415419407976351,-0.6575265912021079,1.1094073551457102,60.195647045848816,1.379210559333243,-1.5832404741426793,-1.2172305995855874,0.7245169214116849,-1.2783250750564947
6,6,-2.5460093021392822,1.5199536085128784,0.018171079456806183,1.7506209509387898,-2.007690941452221,0.7105203077291987,61.671014457751234,2.6488844391646658,-3.1491956862674395,-1.4002476270031776,1.5976750630481986,-2.193111397658184
7,7,-4.212850093841553,1.4515337944030762,0.011920172721147537,10.363091807125667,0.26747634421836314,1.113845219825233,62.45406763513661,0.8690635022504369,-0.48732275336814324,-0.6277027696204585,0.5658070911242309,-0.8178902712947164
8,8,-3.441049337387085,1.501408338546753,0.018289413303136826,6.403505461673214,-0.641983715842848,0.978787313993663,62.699345288211354,2.112354341435106,-2.282436971795069,-1.525755281317724,1.230402265917765,-1.7685683745227447
9,9,-3.7838339805603027,1.3585463762283325,0.013652903959155083,18.46809775378253,-0.120523153300825,1.0913853938515121,63.63793151443069,1.0274185539902867,-0.6344366009170944,-0.5683607249646574,0.6568100566799576,-1.0937794435668635
10,10,-4.421255588531494,1.495297908782959,0.011425246484577656,4.033841825820304,-1.3924444507908176,0.8590298942617468,61.435197840510185,2.2191478935447897,-2.3524039848430736,-1.5776066438571827,1.3446488651069435,-1.7540630495226062
11,11,-4.27714729309082,1.4590741395950317,0.01601552776992321,11.928700651441302,-0.423003742506045,1.0799981681456476,60.05003837917162,1.4119827628876112,-1.1286457062508009,-0.7910176728452954,0.6418553814754723,-1.319990370954786
12,12,-3.896747589111328,1.3678096532821655,0.029785634949803352,5.249396209317352,-1.5827680183330755,0.8514036717215133,47.99606293283832,0.5106020385682271,-0.7325483617709257,0.13682806398231945,-0.1341746064848925,-1.002355470395213
13,13,-4.420271396636963,1.4909480810165405,0.03302047401666641,6.897149692720442,-1.1816950903010013,0.8104857335339731,56.67774450956885,1.6591434300835453,-2.026387442403765,-1.6640883604092385,0.8322950708332346,-1.2327701351535854
14,14,-4.319124221801758,1.5163654088974,0.03861204534769058,2.484463858604431,-1.041409896178679,0.8807614348151467,61.69820355502042,2.4893714557994495,-2.5558534492145886,-1.6920549078421159,1.5340729756788773,-1.613212455402721
15,15,-3.3983218669891357,1.6130660772323608,0.15191932022571564,4.407893138547098,-1.524842683346041,0.6445824359693835,51.9335385599444,0.08202432432482319,-0.3497368338397674,-0.5263728662844627,-0.5302111804485321,-0.3845133369998826
16,16,-3.8587331771850586,1.4668552875518799,0.07311897724866867,5.011969687541326,-1.2794206947088242,0.8391467576225599,54.0927708307902,1.5599552489817143,-1.809332487359643,-1.118099482357502,0.7039935924112797,-1.3967219606041907
17,17,-3.9046120643615723,1.541016936302185,0.02010207064449787,2.5053844497754025,-2.1151077976593604,0.5585049178737861,62.12543736971342,2.6681339068290515,-3.223894620553041,-1.3636672007731903,1.605057994524638,-2.2677205434212317
18,18,-4.012024879455566,1.5796664953231812,0.03998163715004921,11.665683783926406,-1.3227941710669715,0.7275978114690866,58.41225091401521,2.668763291728389,-3.2263369936126844,-1.3624711589770273,1.6052993885031692,-2.2701599807352633
19,19,-4.0249176025390625,1.4855157136917114,0.06074690818786621,15.384325131773949,-0.7903960255736654,0.9736460233953866,43.45743599804965,2.2011671374467285,-2.6302925055338577,-1.2434755668721416,1.2319565774364905,-1.9057430828159505
20,20,-4.46727991104126,1.4795573949813843,0.017184166237711906,9.65425679164055,-1.9604683373218927,0.7957861641278634,58.582950763213326,2.3749208671924396,-2.5048115138824167,-1.728796089306856,1.4532649257244208,-1.755638328118202
21,21,-4.253268718719482,1.499145269393921,0.02868841402232647,33.79698087039747,-0.7785498557710334,0.9022641209395308,57.70281420255962,2.0562688496552015,-2.0465014623968223,-1.1062884183698578,1.3742826577079923,-1.3030733944554078
22,22,-4.469346523284912,1.480647087097168,0.010827142745256424,7.707491490825917,-0.8490032369985521,0.9904185196138778,56.872477765353224,1.5815785283562522,-1.5126770603581794,-0.885477491894608,1.0468517129526198,-1.4638520096832852
23,23,-4.037975788116455,1.426769495010376,0.012477529235184193,15.011447351629084,-1.1701614092696797,1.0624641992829063,56.97157904885032,1.578146971355785,-1.51674518476833,-0.3217068390412764,1.2001860309730876,-1.1315575036135588
